,Name,Gender
962,Coach Penny,F
963,Coach Roberts,F
964,Coco the Coconutty Monkey,F
965,Cocoa,F
966,Cody's Mother,F
967,Jennifer Cody,F
968,Sherry Cola,F
969,Anna Coleman,F
970,Chloe Coleman,F
971,Monique Coleman,F
972,Tess Coleman,F
973,Colette,F
974,Colette Marchant,F
975,Colette Tatou,F
976,Colleen,F
977,Colleen Voyd,F
978,Collegiate Quartet,M
979,Mo Collins,F
980,Olivia Colman,F
981,Colorful Triangles,M
982,Comandante Camilla Reyes,F
983,Jodie Comer,F
984,Commercial Woman,F
985,Community Sue,F
986,Computer and Mouse,M
987,Coney Island Freaks,M
988,Jennifer Connelly,F
989,Connie,F
990,Connie Torres,F
991,Carla Connors,F
992,Constance,F
993,Constance Contraire,F
994,Queen Constantina,F
995,Mary Contrary,F
996,Rachael Leigh Cook,F
997,Taranee Cook,F
998,Theresa Cook,F
999,CookieAnn,F
1000,Cool Kids,M
1001,Jennifer Coolidge,F
1002,Emily Cooper,F
1003,K.C. Cooper,F
1004,Fanny the Goose,F
1005,Misty Copeland,F
1006,Cora,F
1007,Cora Beakman,F
1008,Coral,F
1009,Queen Coralie,F
1010,Maria Corazon,F
1011,Cordelia the Conjuror,F
1012,Natalia Cordova-Buckley,F
1013,Wendy Corduroy,F
1014,Corey the Manticore,F
1015,Cornchip Girl,F
1016,Cornelia,F
1017,Cornica,F
1018,Corrie,F
1019,Corrina Corrina,F
1020,Miranda Cosgrove,F
1021,Cosmic Explorers,M
1022,Cosmo,F
1023,Cosmo the Spacedog,F
1024,Mary Costa,F
1025,Camille Cottin,F
1026,Cotton,M
1027,Annie and Fannie Cottontail,F
1028,Student Council,M
1029,Countess Le Grande,F
1030,Country Kitty,F
1031,Susie the Little Blue Coupe,F
1032,Brethren Court,M
1033,Courtney,F
1034,Coven of the Eight,F
1035,Cow,F
1036,Clarabelle Cow,F
1037,The Cows,F
1038,Alaqua Cox,F
1039,Courteney Cox,F
1040,Martha Cox,F
1041,Nikki Cox,F
1042,Crab Scouts,M
1043,Crackle,F
1044,M'Ma Crackshell,F
1045,Crandall's mom,F
1046,Crane,M
1047,Betina and Belinda Cratchit,F
1048,Mrs. Cratchit,F
1049,Auli'i Cravalho,F
1050,Kim Crawford,F
1051,Crazy Edie,F
1052,Creampuff,F
1053,Madame Credenza,F
1054,Kat Cressida,F
1055,The Crew of the Black Pearl,M
1056,The Crew of the Wicked Wench,M
1057,Wendy Crewson,F
1058,Crimson Widow,F
1059,Cristina,F
1060,Croaky Frogini,F
1061,Crocodiles,M
1062,Aggie Cromwell,F
1063,Nerissa Crossnic,F
1064,Carolyn Crosson,F
1065,Katie Crown,F
1066,Cruella De Vil,F
1067,Crushroom,F
1068,Penélope Cruz,F
1069,Suzanne Cryer,F
1070,Crying Girl,F
1071,Crystal,F
1072,Crystal the Monkey,F
1073,Lisa Cucuy,F
1074,Cuddles the Alligator,F
1075,Molly Cunningham,F
1076,Rebecca Cunningham,F
1077,Kaley Cuoco,F
1078,Cupcake,F
1079,Piper Curda,F
1080,Saylor Bell Curda,F
1081,Jordyn Curet,F
1082,Curious Oysters,F
1083,Curly Q,F
1084,Kyliegh Curran,F
1085,Jane Curtin,F
1086,Jamie Lee Curtis,F
1087,Aria Curzon,F
1088,Joan Cusack,F
1089,Cutter,F
1090,Cutting-Edge Appliances,M
1091,Cyclops,M
1092,Cynthia,F
1093,Miley Cyrus,F
1094,Noah Cyrus,F
1095,Olivia d'Abo,F
1096,Stephanie D'Abruzzo,F
1097,Desiree D'Allure,F
1098,D-FIB,F
1099,Da Vinci,F
1100,Lauren Dabney,F
1101,The Dachsies,F
1102,Alexandra Daddario,F
1103,Dae,F
1104,Dahlia,F
1105,Elizabeth Daily,F
1106,Daisy,F
1107,Daisy's parents,M
1108,Dalia,F
1109,Tia Dalma,F
1110,Dalmatian Puppies,M
1111,Romi Dames,F
1112,Dancing Fish,F
1113,Dani,F
1114,Dani Dennison,F
1115,Dania,F
1116,Danielle,F
1117,Danielle Wrathmaker,F
1118,Chelsea Daniels-Grayson,F
1119,Blythe Danner,F
1120,Daphne,F
1121,Dar-Benn,F
1122,Darby,F
1123,Darby Steel,F
1124,Diane Darcy,F
1125,Riley Daring,F
1126,Dark End,M
1127,Darkstar,F
1128,Darla,F
1129,Darla Shannon,F
1130,Darlene,F
1131,Darling,F
1132,Anita Darling,F
1133,Mary Darling,F
1134,Wendy Darling,F
1135,Daughters of the Buccaneers,F
1136,Andrea Davenport,F
1137,Bree Davenport,F
1138,Madison Davenport,F
1139,Tasha Davenport,F
1140,Lolita Davidovich,F
1141,Amy Davidson,F
1142,Retta Davidson,F
1143,Alice Davis,F
1144,Bette Davis,F
1145,Dana Davis,F
1146,Geena Davis,F
1147,Hope Davis,F
1148,Molly Davis,F
1149,Mrs. Davis,F
1150,Rebecca Davis,F
1151,Sharon Davis,F
